city,property_type,price,accommodates,room_type,host_neighbourhood,Latitudes,Longitudes,number_of_reviews,number_of_reviews
Hong Kong,Guesthouse,196.0,1,Private room,Tsim Sha Tsui,114.17237,22.29738,34,34
Hong Kong,Hotel,2002.0,4,Private room,Tsim Sha Tsui,114.17269,22.2987,13,13
Hong Kong,Apartment,1499.0,8,Entire home/apt,Causeway Bay,114.18369,22.27966,47,47
Hong Kong,Apartment,353.0,2,Private room,Mong Kok,114.17198,22.31578,23,23
Hong Kong,Apartment,848.0,2,Entire home/apt,Sheung Wan,114.15313,22.28091,147,147
Hong Kong,Apartment,848.0,4,Entire home/apt,0,113.9522,22.29421,0,0
Hong Kong,Apartment,597.0,4,Entire home/apt,Sheung Wan,114.14805,22.2852,3,3
Hong Kong,Apartment,801.0,4,Entire home/apt,0,114.01098,22.30356,5,5
Hong Kong,Apartment,1499.0,3,Entire home/apt,The Peak,114.14943,22.27814,1,1
Hong Kong,Hotel,447.0,4,Private room,Mong Kok,114.16977,22.32245,28,28
Hong Kong,Apartment,400.0,2,Entire home/apt,0,114.13009,22.28313,39,39
Hong Kong,Apartment,581.0,4,Entire home/apt,Mong Kok,114.16752,22.32103,30,30
Hong Kong,Apartment,997.0,2,Entire home/apt,Sheung Wan,114.14886,22.28437,0,0
Hong Kong,Apartment,1248.0,2,Entire home/apt,Sheung Wan,114.1482,22.28505,51,51
Hong Kong,Apartment,173.0,1,Private room,Sheung Wan,114.16986,22.31892,0,0
Hong Kong,Apartment,754.0,1,Private room,Soho,114.15339,22.28095,0,0
Hong Kong,Apartment,754.0,4,Entire home/apt,Kowloon Tong,114.17491,22.33879,0,0
Hong Kong,Apartment,502.0,2,Entire home/apt,Happy Valley,114.18424,22.26711,3,3
Hong Kong,Serviced apartment,761.0,3,Entire home/apt,Tai Kok Sui,114.16569,22.30788,96,96
Hong Kong,Apartment,447.0,2,Entire home/apt,Mong Kok,114.16816,22.31922,10,10
Hong Kong,Apartment,165.0,1,Private room,Mong Kok,114.16959,22.32108,2,2
Hong Kong,Other,502.0,2,Private room,Quarry Bay,114.21778,22.28665,25,25
Hong Kong,Apartment,550.0,2,Entire home/apt,Shek Tong Tsui,114.13076,22.28427,10,10
Hong Kong,Apartment,597.0,2,Entire home/apt,Sheung Wan,114.15197,22.28403,20,20
Hong Kong,Apartment,604.0,5,Private room,Tsim Sha Tsui,114.17175,22.29778,31,31
Hong Kong,Apartment,871.0,5,Entire home/apt,Jordan,114.16702,22.30654,12,12
Hong Kong,Apartment,251.0,1,Private room,Tai Kok Sui,114.18378,22.27905,0,0
Hong Kong,Apartment,754.0,5,Entire home/apt,Wan Chai,114.1722,22.278,2,2
Hong Kong,Apartment,188.0,1,Private room,Mong Kok,114.17907,22.27862,0,0
Hong Kong,Apartment,1492.0,8,Entire home/apt,0,114.17605,22.2784,20,20
Hong Kong,Apartment,1389.0,6,Entire home/apt,Soho,114.15115,22.28161,9,9
Hong Kong,Heritage hotel (India),2999.0,2,Private room,0,114.13867,22.28854,0,0
Hong Kong,Condominium,699.0,2,Entire home/apt,Causeway Bay,114.18207,22.28112,121,121
Hong Kong,Apartment,848.0,3,Entire home/apt,Hung Hom,114.18809,22.30294,3,3
Hong Kong,Hotel,400.0,3,Private room,Mong Kok,114.16798,22.32099,50,50
Hong Kong,Hostel,196.0,1,Shared room,North Point,114.19845,22.28974,0,0
Hong Kong,Apartment,879.0,7,Entire home/apt,Mong Kok,114.16948,22.31694,38,38
